Utterance,Emotion,Conscientiousness,Openness,Extraversion,Neuroticism,Agreeableness,Speaker
Paris?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"There he goes, your fianc e.",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"Chip, is Chip Matthews.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
Come on! Admit it! That was the best nap you ever had!,anger,0.489,0.574,0.297,0.56,0.552,Joey
Uh-oh.,fear,0.614,0.635,0.457,0.469,0.58,Rachel
Can t I just look at the handles on them?,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
What?,,0.48,0.648,0.521,0.477,0.66,Chandler
"Oh, Monica. You are not still going over that thing.",surprise,0.614,0.635,0.457,0.469,0.58,Rachel
Oh. Oh yeah! Ohhhhh! Ohh! Oh yeah!,joy,0.354,0.713,0.386,0.511,0.533,Monica
Sure. So how long you been...,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Umm, about that-that-that last move where the woman tripped you and then pinned you to the floor, what-what-what-what would you do next?",fear,0.457,0.722,0.6,0.455,0.46,Ross
Hey.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
Yeah!,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Yeah! Okay, here you go.",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"Okay, ten blocks down. Five to go.",anger,0.48,0.648,0.521,0.477,0.66,Chandler
"No! Y know,",sadness,0.354,0.713,0.386,0.511,0.533,Monica
I think I have an old band uniform from high school.,joy,0.457,0.722,0.6,0.455,0.46,Ross
"I mean, I remember a time when",surprise,0.48,0.648,0.521,0.477,0.66,Chandler
"Well, I was thinking maybe a um, a romantic dinner with um, candles and wine and then uh, maybe going back to my place for um, dessert.",joy,0.614,0.635,0.457,0.469,0.58,Rachel
"Ho-ho-ho,  fried stuff with cheese!",joy,0.489,0.574,0.297,0.56,0.552,Joey
You wanna what?!,,0.354,0.713,0.386,0.511,0.533,Monica
"I know, I know I was, but there was always this little voice inside that kept saying it's never gonna happen, move on. You know whose voice that was?",anger,0.457,0.722,0.6,0.455,0.46,Ross
Alright open your eyes.,joy,0.489,0.574,0.297,0.56,0.552,Joey
"What, it's gonna be Helen Willick?",anger,0.457,0.722,0.6,0.455,0.46,Ross
You re building a post office?,,0.48,0.648,0.521,0.477,0.66,Chandler
We're waiting for you to open the door. You got the keys.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Hi.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"So they ah, they all took off, it was pretty hard watching them go, y'know?",surprise,0.457,0.722,0.6,0.455,0.46,Ross
What? What?,fear,0.457,0.722,0.6,0.455,0.46,Ross
You roll another hard eight and we get married here tonight.,joy,0.48,0.648,0.521,0.477,0.66,Chandler
Who's drink can I freshen?,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Oh, it s already closed, Chris gave me the keys to lock up-what is wrong?",surprise,0.375,0.6,0.31,0.356,0.545,Phoebe
Yeah! Once.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
It was really fun being married to you tonight.,joy,0.614,0.635,0.457,0.469,0.58,Rachel
"She says as time goes on, he's gonna start getting agressive and violent.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
I'm trppd... in an ATM vstbl... wth,fear,0.48,0.648,0.521,0.477,0.66,Chandler
Hey.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"I-I-I ah, I-I think I love you.",joy,0.457,0.722,0.6,0.455,0.46,Ross
I mean it s not at all.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
Hey!,,0.489,0.574,0.297,0.56,0.552,Joey
"If I tell you, you'll think I'm crazy.",surprise,0.354,0.713,0.386,0.511,0.533,Monica
"All right, so who do you got it narrowed down to?",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"I mean... uh, did you know you were  mouthing the words along with me?",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"No, I-I mean your-your old best friend, here.  Lily, from high school. Remember?",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Really!,joy,0.354,0.713,0.386,0.511,0.533,Monica
No! No! No!,anger,0.457,0.722,0.6,0.455,0.46,Ross
Oh wait! Stop! Stop! Stop!,joy,0.354,0.713,0.386,0.511,0.533,Monica
No. Sorry man.,surprise,0.457,0.722,0.6,0.455,0.46,Ross
Oy!!,disgust,0.375,0.6,0.31,0.356,0.545,Phoebe
Yeah? You like that one?,,0.614,0.635,0.457,0.469,0.58,Rachel
"Y know, I m beginning to see what Jake was talking about.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Ahh.  Ooh, is this a ah, is this a bad time?",,0.457,0.722,0.6,0.455,0.46,Ross
"Ooh! I'm sorry! I think, I THINK, that may have missed the table!",joy,0.354,0.713,0.386,0.511,0.533,Monica
"Yeah, I know, I did that two minutes ago.",joy,0.48,0.648,0.521,0.477,0.66,Chandler
"Oh honey, I'm so sorry, you were right, this feels great!",joy,0.614,0.635,0.457,0.469,0.58,Rachel
"Well umm, Alexandra has been",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Hey, this is so unfair!",anger,0.48,0.648,0.521,0.477,0.66,Chandler
"Yeah, my neighbor... Yeah, the brunette... She says you looked very pretty the other day in the green dress.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
Jeffrey,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Hey, don't blame me for wigging tonight!",anger,0.354,0.713,0.386,0.511,0.533,Monica
"Well not clients, lovers. But let s just y know, try it again. Come back and-and we ll work through it.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Oh yeah well, I m sorry about that too, but what are you going to do?",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"The bottom line is, smoking is cool, and you know it.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
I m asking you to do me a favor.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Hey! We were just sayin', great apartment man.",joy,0.489,0.574,0.297,0.56,0.552,Joey
"Okay, are you aware unagi  is an eel?",joy,0.48,0.648,0.521,0.477,0.66,Chandler
"Hey, Rach, can I get...",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
What if I clean your bathroom for a month?,fear,0.614,0.635,0.457,0.469,0.58,Rachel
"Okay, I've got three of my five.",joy,0.457,0.722,0.6,0.455,0.46,Ross
